ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5064698,HM670636,10/17/2006 01:00:00 PM,039XX W LEXINGTON ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1132,011,24,26,05,1150178,1896406,2006,04/15/2016 08:55:02 AM,41.871644264,-87.724107724,"(41.871644264, -87.724107724)"
5064699,HM669516,10/19/2006 01:10:00 PM,065XX S LOWE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,0723,007,20,68,04A,1173163,1861518,2006,04/15/2016 08:55:02 AM,41.775429728,-87.640753492,"(41.775429728, -87.640753492)"
5064700,HM669496,10/19/2006 01:20:00 PM,030XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,2112,001,2,35,08B,1179306,1885032,2006,04/15/2016 08:55:02 AM,41.839816207,-87.617516172,"(41.839816207, -87.617516172)"
5064704,HM495736,07/24/2006 12:16:35 PM,005XX E 36TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,0212,002,4,35,18,1180566,1880990,2006,04/15/2016 08:55:02 AM,41.828695766,-87.613016949,"(41.828695766, -87.613016949)"
5064709,HM669522,10/19/2006 12:40:00 PM,070XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0735,007,17,67,08B,1165898,1857987,2006,04/15/2016 08:55:02 AM,41.765897663,-87.667486379,"(41.765897663, -87.667486379)"
5064713,HM669379,10/19/2006 12:15:00 PM,006XX N MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DEPARTMENT STORE,false,false,1834,018,42,8,08B,1177327,1904307,2006,04/15/2016 08:55:02 AM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
5064714,HM671225,10/19/2006 09:55:00 PM,045XX S PAULINA ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0914,009,20,61,26,1165771,1874504,2006,04/15/2016 08:55:02 AM,41.811225059,-87.667483017,"(41.811225059, -87.667483017)"
5064715,HM670155,10/19/2006 04:30:00 PM,041XX W WASHINGTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,1114,011,28,26,05,1148683,1900169,2006,04/15/2016 08:55:02 AM,41.881999353,-87.729499313,"(41.881999353, -87.729499313)"
5064716,HM670051,10/15/2006 05:00:00 PM,023XX E 70TH ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0331,003,5,43,06,1193221,1859006,2006,04/15/2016 08:55:02 AM,41.768069819,-87.567306284,"(41.768069819, -87.567306284)"
5064727,HM669131,10/18/2006 03:10:00 PM,081XX S VINCENNES AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0622,006,21,44,06,1174708,1850883,2006,04/15/2016 08:55:02 AM,41.74621174,-87.635406033,"(41.74621174, -87.635406033)"
5064728,HM671228,10/19/2006 06:00:00 PM,003XX W SCHILLER ST,0810,THEFT,OVER $500,STREET,false,false,1821,018,27,8,06,1173586,1909692,2006,04/15/2016 08:55:02 AM,41.907613782,-87.637772629,"(41.907613782, -87.637772629)"
5064729,HM669597,10/19/2006 01:00:00 PM,003XX W 63RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0722,007,20,68,03,1175030,1863173,2006,04/15/2016 08:55:02 AM,41.779929767,-87.633859966,"(41.779929767, -87.633859966)"
5199461,HM789729,01/01/2005 09:00:00 AM,044XX W BERTEAU AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,GROCERY FOOD STORE,false,false,1722,017,38,16,06,,,2005,08/17/2015 03:03:40 PM,,,
5064731,HM670997,10/18/2006 09:00:00 AM,029XX W LEXINGTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1135,011,2,27,07,1156854,1896560,2006,04/15/2016 08:55:02 AM,41.871934218,-87.699593191,"(41.871934218, -87.699593191)"
5064734,HM669874,10/19/2006 03:45:00 PM,024XX S STEWART AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,BRIDGE,true,false,2111,009,25,34,14,1174080,1887869,2006,04/15/2016 08:55:02 AM,41.847719077,-87.636608723,"(41.847719077, -87.636608723)"
5064742,HM669600,10/19/2006 01:55:00 PM,004XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0624,006,6,69,14,1180467,1852722,2006,04/15/2016 08:55:02 AM,41.751128044,-87.614247622,"(41.751128044, -87.614247622)"
5064744,HM667418,10/17/2006 05:30:00 PM,013XX E HYDE PARK BLVD,0810,THEFT,OVER $500,STREET,false,false,2124,002,4,41,06,1185725,1871449,2006,04/15/2016 08:55:02 AM,41.802394354,-87.594390228,"(41.802394354, -87.594390228)"
5064746,HM670457,10/19/2006 09:15:00 PM,043XX W MADISON ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1115,011,28,26,05,1147532,1899662,2006,04/15/2016 08:55:02 AM,41.880630232,-87.73373882,"(41.880630232, -87.73373882)"
5064747,HM671024,10/20/2006 08:30:00 AM,009XX S RACINE AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1213,012,2,28,08A,1168520,1895988,2006,04/15/2016 08:55:02 AM,41.870120267,-87.656779155,"(41.870120267, -87.656779155)"
5064748,HM499396,07/25/2006 10:40:21 PM,014XX W CHASE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,2423,024,49,1,18,1165362,1948359,2006,04/15/2016 08:55:02 AM,42.013896652,-87.666878247,"(42.013896652, -87.666878247)"
5064749,HM669637,10/19/2006 12:45:00 PM,074XX S MORGAN ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0733,007,17,68,08B,1170928,1855632,2006,04/15/2016 08:55:02 AM,41.759326916,-87.649118375,"(41.759326916, -87.649118375)"
5064750,HM667492,10/09/2006 12:01:00 AM,0000X E CHESTNUT ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1833,018,42,8,11,1176779,1906345,2006,04/15/2016 08:55:02 AM,41.898357814,-87.626144767,"(41.898357814, -87.626144767)"
5064751,HM555245,08/22/2006 11:19:49 AM,079XX S DREXEL AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0624,006,8,44,19,1183611,1852487,2006,04/15/2016 08:55:02 AM,41.750410496,-87.602733865,"(41.750410496, -87.602733865)"
5064753,HM668493,10/18/2006 09:30:00 PM,004XX E 71ST ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN,false,false,0323,003,6,69,11,1180275,1858038,2006,04/15/2016 08:55:02 AM,41.765720123,-87.614788489,"(41.765720123, -87.614788489)"
5064754,HM668544,10/18/2006 10:07:48 PM,002XX N HAMLIN BLVD,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,ALLEY,false,false,1122,011,28,26,03,1151019,1901061,2006,04/15/2016 08:55:02 AM,41.884401674,-87.720898103,"(41.884401674, -87.720898103)"
5064762,HM669767,10/19/2006 02:45:00 PM,068XX S HALSTED ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,true,false,0723,007,6,68,08B,1172151,1859408,2006,04/15/2016 08:55:02 AM,41.769661943,-87.644525308,"(41.769661943, -87.644525308)"
5064764,HM667616,09/29/2006 01:35:00 PM,062XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0314,003,5,42,06,1187940,1864073,2006,04/15/2016 08:55:02 AM,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
5064769,HM555260,08/22/2006 12:03:53 PM,114XX S YALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,0522,005,34,49,18,1176653,1829180,2006,04/15/2016 08:55:02 AM,41.686612238,-87.628929785,"(41.686612238, -87.628929785)"
5064770,HM670082,10/19/2006 01:30:00 PM,038XX W THOMAS ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1112,011,27,23,05,1150729,1907066,2006,04/15/2016 08:55:02 AM,41.900885688,-87.721805866,"(41.900885688, -87.721805866)"
5064771,HM495745,07/24/2006 12:00:59 PM,050XX W CRYSTAL ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,true,false,2533,025,37,25,18,1142638,1907854,2006,04/15/2016 08:55:02 AM,41.90320247,-87.751505396,"(41.90320247, -87.751505396)"
5064773,HM670105,10/19/2006 06:15:00 PM,021XX E 71ST ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0333,003,5,43,06,1191527,1858274,2006,04/15/2016 08:55:02 AM,41.766102387,-87.573539169,"(41.766102387, -87.573539169)"
5064774,HM665016,10/17/2006 09:31:00 AM,002XX N WESTERN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,false,false,1332,012,27,28,11,1160371,1901450,2006,04/15/2016 08:55:02 AM,41.885280845,-87.686545515,"(41.885280845, -87.686545515)"
5064777,HM671223,10/19/2006 08:00:00 PM,007XX S WESTERN AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,1224,012,2,28,07,1160499,1896849,2006,04/15/2016 08:55:02 AM,41.872652634,-87.686202871,"(41.872652634, -87.686202871)"
5064783,HM669606,10/19/2006 01:00:00 PM,085XX S COTTAGE GROVE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0632,006,6,44,06,1183056,1848421,2006,04/15/2016 08:55:02 AM,41.739265865,-87.604893749,"(41.739265865, -87.604893749)"
5064786,HM669805,10/19/2006 03:00:00 PM,069XX S DAMEN AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,CTA BUS,false,false,0735,007,17,67,14,1164219,1858818,2006,04/15/2016 08:55:02 AM,41.768213543,-87.673617146,"(41.768213543, -87.673617146)"
5064790,HM555262,08/22/2006 12:05:00 PM,058XX W FULTON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1512,015,29,25,18,1137488,1901418,2006,04/15/2016 08:55:02 AM,41.885635565,-87.770577747,"(41.885635565, -87.770577747)"
5064791,HM669856,10/19/2006 02:50:00 PM,021XX E 71ST ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0333,003,5,43,06,1191527,1858274,2006,04/15/2016 08:55:02 AM,41.766102387,-87.573539169,"(41.766102387, -87.573539169)"
5064795,HM522430,08/05/2006 10:25:53 PM,027XX S CHRISTIANA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1032,010,22,30,18,1154475,1885579,2006,04/15/2016 08:55:02 AM,41.841848975,-87.708620853,"(41.841848975, -87.708620853)"
5064798,HM668053,10/18/2006 05:32:00 PM,003XX N PULASKI RD,0820,THEFT,$500 AND UNDER,STREET,false,false,1114,011,28,26,06,1149674,1901650,2006,04/15/2016 08:55:02 AM,41.886044188,-87.725821842,"(41.886044188, -87.725821842)"
5064799,HM495761,07/24/2006 12:55:07 PM,013XX E 64TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,true,false,0314,003,20,42,18,1186370,1862839,2006,04/15/2016 08:55:02 AM,41.778752596,-87.592296944,"(41.778752596, -87.592296944)"
5064800,HM670963,10/20/2006 08:25:00 AM,057XX S ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0822,008,14,63,07,1154031,1866115,2006,04/15/2016 08:55:02 AM,41.788445991,-87.710767685,"(41.788445991, -87.710767685)"
5064803,HM668989,10/19/2006 08:50:00 AM,020XX N ORCHARD ST,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, BUILDING",false,false,1812,018,43,7,14,1171278,1913694,2006,04/15/2016 08:55:02 AM,41.918646522,-87.64613311,"(41.918646522, -87.64613311)"
5064804,HM671042,10/17/2006 09:00:00 PM,030XX W GEORGE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,014,35,21,14,1155729,1919127,2006,04/15/2016 08:55:02 AM,41.933882786,-87.70311487,"(41.933882786, -87.70311487)"
5064807,HM669815,10/19/2006 02:00:00 PM,064XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0723,007,16,68,14,1171082,1862167,2006,04/15/2016 08:55:02 AM,41.777256398,-87.648363232,"(41.777256398, -87.648363232)"
5064816,HM669884,10/19/2006 03:37:00 PM,074XX S GREEN ST,0820,THEFT,$500 AND UNDER,APARTMENT,true,false,0733,007,17,68,06,1171923,1855610,2006,04/15/2016 08:55:02 AM,41.759244771,-87.645472383,"(41.759244771, -87.645472383)"
5064818,HM671103,10/20/2006 08:00:00 AM,075XX N CLARK ST,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,2422,024,49,1,06,1162887,1950011,2006,04/15/2016 08:55:02 AM,42.018482287,-87.675938472,"(42.018482287, -87.675938472)"
5064821,HM667841,10/18/2006 04:12:00 PM,021XX E 71ST ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0333,003,5,43,06,1191527,1858274,2006,04/15/2016 08:55:02 AM,41.766102387,-87.573539169,"(41.766102387, -87.573539169)"
5064827,HM670003,10/19/2006 03:44:00 PM,050XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,OTHER,true,false,0224,002,3,38,08B,1178008,1871738,2006,04/15/2016 08:55:02 AM,41.803365964,-87.622682706,"(41.803365964, -87.622682706)"
5064828,HM668459,10/18/2006 09:05:10 PM,036XX W POLK ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1133,011,24,27,08A,1152165,1896122,2006,04/15/2016 08:55:02 AM,41.870826006,-87.716820096,"(41.870826006, -87.716820096)"
5064830,HM670460,10/19/2006 09:22:18 PM,010XX S MAYFIELD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1513,015,29,25,03,1137198,1895243,2006,04/15/2016 08:55:02 AM,41.868695744,-87.771791063,"(41.868695744, -87.771791063)"
5064831,HM669949,10/19/2006 05:00:31 PM,063XX S MORGAN ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,false,false,0724,007,16,68,03,1170731,1862846,2006,04/15/2016 08:55:02 AM,41.779127319,-87.649630202,"(41.779127319, -87.649630202)"
5064833,HM555345,08/22/2006 12:41:14 PM,058XX S NORMAL BLVD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,0711,007,3,68,18,1173966,1865993,2006,04/15/2016 08:55:02 AM,41.787691839,-87.63767708,"(41.787691839, -87.63767708)"
5064835,HM496865,07/24/2006 09:00:00 PM,061XX N JERSEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1711,017,50,13,18,1153299,1940486,2006,04/15/2016 08:55:02 AM,41.992541921,-87.711475408,"(41.992541921, -87.711475408)"
5064836,HM499420,07/26/2006 01:07:33 AM,017XX N MOODY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,2513,025,29,25,18,1135144,1910988,2006,04/15/2016 08:55:02 AM,41.911938731,-87.778958438,"(41.911938731, -87.778958438)"
5064840,HM555346,08/22/2006 12:26:44 PM,006XX W 65TH ST,1540,OBSCENITY,OBSCENE MATTER,RESIDENCE,true,false,0723,007,20,68,17,1172916,1861779,2006,04/15/2016 08:55:02 AM,41.776151397,-87.641651267,"(41.776151397, -87.641651267)"
5064842,HM495777,07/24/2006 01:22:42 PM,015XX W FARGO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,2422,024,49,1,18,1164686,1949522,2006,04/15/2016 08:55:02 AM,42.017102358,-87.669332431,"(42.017102358, -87.669332431)"
5064843,HM669824,10/19/2006 03:30:00 PM,070XX S STONY ISLAND AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,false,false,0332,003,5,43,10,1188135,1858735,2006,04/15/2016 08:55:02 AM,41.767448959,-87.585957168,"(41.767448959, -87.585957168)"
5064845,HM669954,10/19/2006 12:30:00 PM,067XX S THROOP ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0724,007,17,67,08A,1168817,1860149,2006,04/15/2016 08:55:02 AM,41.771767961,-87.656724898,"(41.771767961, -87.656724898)"
